16.1,22.4,18.0,26.1,15.9,14.6,16.9,28.6,23.9,10.2,0.0,13.9,23.7,5.4,41.1,24.6,35.0,23.8,7.8,30.4,16.4,29.3,24.1,13.5,9.8,18.5,23.6,18.6,18.7,21.3,8.2,25.7,12.6,12.8
19.6,25.5,13.6,29.3,16.9,21.0,20.0,32.1,26.4,6.9,13.3,0.0,20.5,13.8,37.9,28.6,34.2,26.0,10.4,29.7,17.1,26.1,28.1,14.1,11.7,18.1,26.7,21.7,14.4,25.8,13.6,18.1,17.2,8.8
30.3,30.8,16.7,16.7,31.0,18.0,25.2,18.7,22.5,18.6,23.0,20.2,0.0,19.5,24.4,18.6,20.7,12.6,22.0,16.2,10.7,11.7,19.5,25.8,23.3,30.0,21.1,27.2,12.3,34.9,26.6,31.6,19.5,21.4
15.4,20.6,18.6,22.8,16.1,11.3,15.1,27.6,20.6,10.1,6.6,13.9,20.6,0.0,38.0,21.3,31.6,20.4,10.0,27.0,13.3,26.2,20.8,13.6,12.1,21.6,22.4,16.8,16.8,20.6,10.4,25.6,9.9,13.4
44.8,43.8,33.9,26.1,45.6,33.2,39.6,27.8,34.7,35.8,40.2,37.4,24.0,36.7,0.0,29.7,29.8,22.8,39.2,25.4,27.9,29.6,32.1,43.0,40.5,47.2,31.3,41.5,29.4,49.4,42.0,48.8,36.7,38.6
22.4,18.0,25.1,8.0,23.0,12.5,14.0,11.0,11.1,21.8,24.8,26.9,17.8,20.7,29.6,0.0,19.3,8.7,23.7,15.3,17.3,23.4,5.5,27.5,21.4,29.7,6.0,18.0,21.0,26.4,18.4,38.7,21.0,23.6
36.2,30.0,31.5,15.5,36.9,24.6,26.0,12.8,24.4,33.2,35.9,35.0,21.6,32.6,30.7,17.8,0.0,15.7,36.8,9.1,25.5,27.2,21.1,40.6,33.3,44.7,15.8,30.0,27.1,38.4,30.4,46.4,32.4,35.0
22.3,21.3,22.3,4.7,23.0,10.7,17.1,10.4,12.2,19.3,22.0,24.4,13.0,18.7,23.3,6.9,13.6,0.0,24.4,9.0,13.4,18.6,9.6,27.9,22.4,30.8,9.9,19.0,17.9,26.9,19.5,36.2,18.5,21.1
16.1,22.0,17.0,28.4,13.3,18.1,16.4,28.1,22.8,6.9,6.8,10.7,21.9,8.3,39.2,25.0,35.6,26.2,0.0,31.1,18.2,27.5,24.6,7.9,8.0,17.4,23.1,18.1,15.8,22.2,8.8,22.4,14.7,11.1
29.5,25.1,25.8,10.6,30.1,19.7,21.0,8.0,19.5,28.3,31.0,29.2,15.9,27.7,25.0,12.9,8.3,10.8,31.1,0.0,19.8,21.5,16.2,34.8,28.4,36.8,10.9,25.1,21.4,33.5,25.5,40.7,27.5,30.1
26.8,29.3,10.6,16.9,22.5,13.9,23.7,18.9,21.1,12.5,19.2,14.1,7.3,15.6,24.7,17.1,21.0,12.8,16.0,16.5,0.0,12.9,18.0,19.7,17.3,24.0,19.6,25.7,6.2,31.8,19.2,25.6,15.7,15.9
35.9,36.4,22.3,22.2,36.6,23.6,30.8,24.3,28.1,24.2,28.6,25.7,11.7,25.1,30.0,24.2,26.3,18.2,27.6,21.8,16.3,0.0,25.1,31.4,28.9,35.6,26.7,32.8,17.8,40.5,32.2,37.2,25.1,27.0
